round,team_a,team_b,seed_a,seed_b,score_pred_a,score_pred_b,win_prob_a,win_prob_b,pick,favorite,underdog,upset_prob
7,LIU Brooklyn,Radford,20,16,72.629,64.757,0.4873,0.5127,Radford,Radford,LIU Brooklyn,0.4552
6,Villanova,Radford,1,16,78.274,58.759,0.9467,0.0533,Villanova,Villanova,Radford,0.0444
6,Virginia Tech,Alabama,8,9,72.132,70.752,0.5489,0.4511,Virginia Tech,Virginia Tech,Alabama,0.4328
5,Villanova,Virginia Tech,1,8,77.431,68.746,0.7892,0.2108,Villanova,Villanova,Virginia Tech,0.1847
6,Wichita St.,Marshall,4,13,85.761,70.258,0.8737,0.1263,Wichita St.,Wichita St.,Marshall,0.1024
6,West Virginia,Murray St.,5,12,81.918,69.297,0.8228,0.1772,West Virginia,West Virginia,Murray St.,0.1483
5,Wichita St.,West Virginia,4,5,74.29,70.822,0.5771,0.4229,Wichita St.,Wichita St.,West Virginia,0.3802
4,Villanova,Wichita St.,1,4,68.465,72.796,0.531,0.469,Villanova,Villanova,Wichita St.,0.4137
6,Purdue,Cal St. Fullerton,2,15,77.823,67.094,0.8961,0.1039,Purdue,Purdue,Cal St. Fullerton,0.102
6,Arkansas,Butler,7,10,73.402,75.081,0.567,0.433,Arkansas,Arkansas,Butler,0.4204
5,Purdue,Arkansas,2,7,77.957,71.683,0.7204,0.2796,Purdue,Purdue,Arkansas,0.2499
6,Texas Tech,SFA,3,14,72.058,66.337,0.8375,0.1625,Texas Tech,Texas Tech,SFA,0.1705
7,St. Bonaventure,UCLA,11,11,73.319,83.15,0.3685,0.6315,UCLA,UCLA,St. Bonaventure,0.3062
6,Florida,UCLA,6,11,75.337,78.778,0.6021,0.3979,Florida,Florida,UCLA,0.382
5,Texas Tech,Florida,3,6,68.408,73.406,0.5219,0.4781,Texas Tech,Texas Tech,Florida,0.423
4,Purdue,Texas Tech,2,3,74.58,68.408,0.6128,0.3872,Purdue,Purdue,Texas Tech,0.325
3,Villanova,Purdue,1,2,72.184,70.627,0.5513,0.4487,Villanova,Villanova,Purdue,0.4075
6,Kansas,Penn,1,16,77.115,68.206,0.9086,0.0914,Kansas,Kansas,Penn,0.0977
6,Seton Hall,NC State,8,9,77.091,72.816,0.5878,0.4122,Seton Hall,Seton Hall,NC State,0.3771
5,Kansas,Seton Hall,1,8,77.638,70.911,0.7708,0.2292,Kansas,Kansas,Seton Hall,0.2095
6,Auburn,Col. of Charleston,4,13,71.822,74.454,0.7192,0.2808,Auburn,Auburn,Col. of Charleston,0.2928
6,Clemson,New Mexico St.,5,12,69.428,75.594,0.6238,0.3762,Clemson,Clemson,New Mexico St.,0.3491
5,Auburn,Clemson,4,5,75.386,77.222,0.505,0.495,Auburn,Auburn,Clemson,0.4559
4,Kansas,Auburn,1,4,82.575,74.183,0.6946,0.3054,Kansas,Kansas,Auburn,0.2495
6,Duke,Iona,2,15,79.343,73.481,0.8686,0.1314,Duke,Duke,Iona,0.1435
6,Rhode Island,Oklahoma,7,10,75.314,66.854,0.6954,0.3046,Rhode Island,Rhode Island,Oklahoma,0.2632
5,Duke,Rhode Island,2,7,72.947,70.569,0.6755,0.3245,Duke,Duke,Rhode Island,0.3128
6,Michigan St.,Bucknell,3,14,68.111,73.05,0.7418,0.2582,Michigan St.,Michigan St.,Bucknell,0.2628
7,Arizona St.,Syracuse,11,11,72.801,80.225,0.3997,0.6003,Syracuse,Syracuse,Arizona St.,0.3486
6,TCU,Syracuse,6,11,71.245,73.361,0.6193,0.3807,TCU,TCU,Syracuse,0.3761
5,Michigan St.,TCU,3,6,70.671,70.662,0.5896,0.4104,Michigan St.,Michigan St.,TCU,0.4002
4,Duke,Michigan St.,2,3,75.742,68.822,0.6224,0.3776,Duke,Duke,Michigan St.,0.3121
3,Kansas,Duke,1,2,75.738,76.067,0.5256,0.4744,Kansas,Kansas,Duke,0.4394
2,Villanova,Kansas,1,1,75.236,71.508,0.5509,0.4491,Villanova,Kansas,Villanova,0.4776
6,Virginia,UMBC,1,16,72.522,67.384,0.8899,0.1101,Virginia,Virginia,UMBC,0.1277
6,Creighton,Kansas St.,8,9,75.571,70.971,0.5921,0.4079,Creighton,Creighton,Kansas St.,0.371
5,Virginia,Creighton,1,8,69.034,68.565,0.7047,0.2953,Virginia,Virginia,Creighton,0.3042
6,Arizona,Buffalo,4,13,76.207,69.856,0.8074,0.1926,Arizona,Arizona,Buffalo,0.1916
6,Kentucky,Davidson,5,12,80.9,69.733,0.8109,0.1891,Kentucky,Kentucky,Davidson,0.1636
5,Arizona,Kentucky,4,5,72.521,76.042,0.4819,0.5181,Kentucky,Arizona,Kentucky,0.4638
4,Virginia,Kentucky,1,5,67.54,71.376,0.5676,0.4324,Virginia,Virginia,Kentucky,0.3899
6,Cincinnati,Georgia St.,2,15,73.989,64.409,0.8901,0.1099,Cincinnati,Cincinnati,Georgia St.,0.1107
6,Nevada,Texas,7,10,76.464,66.467,0.7129,0.2871,Nevada,Nevada,Texas,0.24
5,Cincinnati,Nevada,2,7,72.978,69.202,0.6921,0.3079,Cincinnati,Cincinnati,Nevada,0.2892
6,Tennessee,Wright St.,3,14,72.524,75.367,0.7632,0.2368,Tennessee,Tennessee,Wright St.,0.2552
6,Miami (FL),Loyola Chicago,6,11,68.073,67.814,0.6495,0.3505,Miami (FL),Miami (FL),Loyola Chicago,0.3621
5,Tennessee,Miami (FL),3,6,68.17,71.59,0.5434,0.4566,Tennessee,Tennessee,Miami (FL),0.4158
4,Cincinnati,Tennessee,2,3,75.627,65.031,0.6684,0.3316,Cincinnati,Cincinnati,Tennessee,0.2527
3,Virginia,Cincinnati,1,2,62.618,65.314,0.4932,0.5068,Cincinnati,Virginia,Cincinnati,0.4504
7,N.C. Central,Texas Southern,16,16,73.668,67.405,0.585,0.415,N.C. Central,Texas Southern,N.C. Central,0.5375
6,Xavier,N.C. Central,1,16,67.645,73.308,0.8173,0.1827,Xavier,Xavier,N.C. Central,0.1972
6,Missouri,Florida St.,8,9,66.843,80.476,0.3484,0.6516,Florida St.,Missouri,Florida St.,0.5237
5,Xavier,Florida St.,1,9,70.903,78.168,0.6379,0.3621,Xavier,Xavier,Florida St.,0.3222
6,Gonzaga,UNC Greensboro,4,13,79.852,64.069,0.8754,0.1246,Gonzaga,Gonzaga,UNC Greensboro,0.1003
6,Ohio St.,South Dakota St.,5,12,75.267,72.995,0.7248,0.2752,Ohio St.,Ohio St.,South Dakota St.,0.2849
5,Gonzaga,Ohio St.,4,5,80.713,62.385,0.7548,0.2452,Gonzaga,Gonzaga,Ohio St.,0.1575
4,Xavier,Gonzaga,1,4,63.376,81.417,0.3484,0.6516,Gonzaga,Xavier,Gonzaga,0.4768
6,North Carolina,Lipscomb,2,15,83.08,74.889,0.8825,0.1175,North Carolina,North Carolina,Lipscomb,0.1221
6,Texas A&M,Providence,7,10,68.134,69.016,0.5777,0.4223,Texas A&M,Texas A&M,Providence,0.4167
5,North Carolina,Texas A&M,2,7,78.51,67.45,0.7701,0.2299,North Carolina,North Carolina,Texas A&M,0.1852
6,Michigan,Montana,3,14,75.253,68.346,0.8461,0.1539,Michigan,Michigan,Montana,0.1575
6,Houston,San Diego St.,6,11,68.636,65.437,0.6853,0.3147,Houston,Houston,San Diego St.,0.3097
5,Michigan,Houston,3,6,69.585,69.119,0.5956,0.4044,Michigan,Michigan,Houston,0.3914
4,North Carolina,Michigan,2,3,75.898,71.042,0.5955,0.4045,North Carolina,North Carolina,Michigan,0.3485
3,Gonzaga,North Carolina,4,2,78.592,70.643,0.5485,0.4515,Gonzaga,North Carolina,Gonzaga,0.4556
2,Cincinnati,Gonzaga,2,4,65.125,74.115,0.4374,0.5626,Gonzaga,Cincinnati,Gonzaga,0.4604
1,Villanova,Gonzaga,1,4,67.001,74.768,0.484,0.516,Gonzaga,Villanova,Gonzaga,0.4294
